id,name,lat,lon,type, fuel,region,country,status,capacity_tonnes,emfpm10, pm10_t_yr,emfpm25,pm25_t_yr,emfso2,�so2_t_yr,emfnox,nox_t_yr,source
WSI-85,"Dhaurahara, Kheri, Uttar Pradesh",27.88805759,81.11991129,Dumpsites,,,India,operating_status,1033.85,,,,,,,,,
WSI-86,"Asola, Sohna, Gurugram",28.41136074,77.13386307,Dumpsites,,,India,operating_status,1003.57,,,,,,,,,
WSI-87,Okhla,28.32374,77.1781718,Dumpsites,,,India,operating_status,539998.46,,,,,,,,,
WSI-88,Bhalaswa,28.74041964,77.15741158,Dumpsites,,,India,operating_status,161799.83,,,,,,,,,
WSI-89,Ghazipur,28.62502474,77.32744217,Dumpsites,,,India,operating_status,300505.05,,,,,,,,,
WSI-90,Dhapa,22.53893819,88.42331171,Dumpsites,,,India,operating_status,310001.75,,,,,,,,,
WSI-91,Moti Jheel,26.84452778,80.90634722,Dumpsites,,,India,operating_status,32800.12,,,,,,,,,
WSI-92,"Sampatchak, Patna District, Bihar",25.56611111,85.17805556,Plastic_waste,,,India,operating_status,"3,272",,,,,,,,,
WSI-93,"Gorakhpur, Uttar Pradesh, 273001",26.72722222,83.34361111,Plastic_waste,,,India,operating_status,862,,,,,,,,,
WSI-94,"Kasya, Kushinagar, Uttar Pradesh",26.75361111,83.95305556,Plastic_waste,,,India,operating_status,843,,,,,,,,,
WSI-95,"Barharganj, NH730, Padrauna",26.92388889,83.92055556,Plastic_waste,,,India,operating_status,"1,455",,,,,,,,,
WSI-96,"Sadar, Varanasi, Uttar Pradesh",25.21416667,82.92,Plastic_waste,,,India,operating_status,754,,,,,,,,,
WSI-97,"Azamgarh, Uttar Pradesh, 276001",26.02555556,83.12722222,Plastic_waste,,,India,operating_status,899,,,,,,,,,
WSI-98,"Kishanganj, Kishanganj district, Bihar",26.11527778,87.955,Plastic_waste,,,India,operating_status,830,,,,,,,,,
WSI-99,"Mansahi, Katihar, Bihar",25.50861111,87.57722222,Plastic_waste,,,India,operating_status,294,,,,,,,,,
WSI-100,"Bahraich, Uttar Pradesh, 271801",27.58888889,81.60083333,Plastic_waste,,,India,operating_status,"1,900",,,,,,,,,
WSI-101,"Dhaurahara, Kheri, Uttar Pradesh",27.88805556,81.11972222,Plastic_waste,,,India,operating_status,"1,033",,,,,,,,,
WSI-102,"Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I",22.17138889,88.22861111,Plastic_waste,,,India,operating_status,512,,,,,,,,,
WSI-103,"Falta Special Economic Zone, Diamond Harbour - II, South 24 Parganas",22.28111111,88.10083333,Plastic_waste,,,India,operating_status,923,,,,,,,,,
WSI-104,"Digha Contai Road, Contai, Contai-I",21.765,87.73027778,Plastic_waste,,,India,operating_status,"5,135",,,,,,,,,
WSI-105,"Midnapore, Paschim Medinipur, West Bengal",22.42416667,87.2925,Plastic_waste,,,India,operating_status,176,,,,,,,,,
WSI-106,"Midnapore, Paschim Medinipur, West Bengal",22.42222222,87.34083333,Plastic_waste,,,India,operating_status,"5,944",,,,,,,,,
WSI-107,"Kharagpur, Kharagpur-I, Paschim Medinipur",22.3325,87.29861111,Plastic_waste,,,India,operating_status,"1,042",,,,,,,,,
WSI-108,"SH14, Dubrajpur, Birbhum",23.79222222,87.39722222,Plastic_waste,,,India,operating_status,639,,,,,,,,,
WSI-109,"Krishnanagar City, Krishnanagar, Krishnagar-I",23.405,88.51138889,Plastic_waste,,,India,operating_status,"2,187",,,,,,,,,
WSI-110,"Badu, Barasat - II, North 24 Parganas",22.69138889,88.50111111,Plastic_waste,,,India,operating_status,"4,450",,,,,,,,,
WSI-111,"Nilgunj Road, Kamarhati, Barrackpur - II",22.67861111,88.38,Plastic_waste,,,India,operating_status,"1,769",,,,,,,,,
WSI-112,"Sodepur, Panihati, Barrackpur - II",22.69166667,88.38583333,Plastic_waste,,,India,operating_status,"1,484",,,,,,,,,
WSI-113,"Barasat, Barasat - I, North 24 Parganas",22.70555556,88.51861111,Plastic_waste,,,India,operating_status,"3,030",,,,,,,,,
WSI-114,"Halisahar, Barrackpur - I, North 24 Parganas",22.92888889,88.42055556,Plastic_waste,,,India,operating_status,957,,,,,,,,,
WSI-115,"Kanchrapara, Barrackpur - I, North 24 Parganas",22.94916667,88.43277778,Plastic_waste,,,India,operating_status,"1,254",,,,,,,,,
WSI-116,"Kalyani-Barrackpur expressway, Kalyani, Chakdah",22.96055556,88.43888889,Plastic_waste,,,India,operating_status,378,,,,,,,,,
WSI-117,"Naihati, Barrackpur - I, North 24 Parganas",22.89527778,88.41055556,Plastic_waste,,,India,operating_status,"2,660",,,,,,,,,
WSI-118,"Jaggadal, Barrackpur - I, North 24 Parganas",22.85972222,88.38805556,Plastic_waste,,,India,operating_status,"5,622",,,,,,,,,
WSI-119,"Chunchura, Chinsurah - Magra, Hugli",22.89305556,88.3775,Plastic_waste,,,India,operating_status,693,,,,,,,,,
WSI-120,"Chandannagar, Singur, Hugli",22.87194444,88.35972222,Plastic_waste,,,India,operating_status,256,,,,,,,,,
WSI-121,"Sardar Bazar, Barrackpore, Barrackpur - II",22.77027778,88.33777778,Plastic_waste,,,India,operating_status,"1,733",,,,,,,,,
WSI-122,"Serampore, Serampur Uttarpara, Hugli",22.78805556,88.30916667,Plastic_waste,,,India,operating_status,622,,,,,,,,,
WSI-123,"Beltala, Barrackpore, Barrackpur - II",22.74888889,88.3825,Plastic_waste,,,India,operating_status,"1,743",,,,,,,,,
WSI-124,"Serampore, Serampur Uttarpara, Hugli",22.72805556,88.34833333,Plastic_waste,,,India,operating_status,600,,,,,,,,,
WSI-125,"Math Para, Titagarh, Barrackpur - II",22.73583333,88.37666667,Plastic_waste,,,India,operating_status,346,,,,,,,,,
